J1      J2      J3      J4      J5      J6      R1      R2      R3
0.3031	-0.682	-0.5456	0.9094	0.682	0.4547	0	0	0
0.3052	-0.6867	-0.5493	0.9155	0.6867	0.4578	0	0	0
0.3072	-0.6912	-0.5529	0.9216	0.6912	0.4608	0	0	0
0.3092	-0.6956	-0.5565	0.9275	0.6956	0.4637	0	0	0
0.3111	-0.6999	-0.5599	0.9332	0.6999	0.4666	0	0	0
0.3129	-0.7041	-0.5633	0.9388	0.7041	0.4694	0	0	0
0.3147	-0.7082	-0.5665	0.9442	0.7082	0.4721	0	0	0
0.3165	-0.7122	-0.5697	0.9495	0.7122	0.4748	0	0	0
0.3182	-0.716	-0.5728	0.9547	0.716	0.4773	0	0	0
0.3199	-0.7198	-0.5758	0.9597	0.7198	0.4798	0	0	0
0.3215	-0.7234	-0.5787	0.9645	0.7234	0.4823	0	0	0
0.3231	-0.7269	-0.5816	0.9693	0.7269	0.4846	0	0	0
0.3246	-0.7304	-0.5843	0.9738	0.7304	0.4869	0	0	0
0.3261	-0.7336	-0.5869	0.9782	0.7336	0.4891	0	0	0
0.3275	-0.7368	-0.5895	0.9824	0.7368	0.4912	0	0	0
0.3288	-0.7399	-0.5919	0.9865	0.7399	0.4933	0	0	0
0.3302	-0.7429	-0.5943	0.9905	0.7429	0.4952	0	0	0
0.3314	-0.7457	-0.5966	0.9943	0.7457	0.4971	0	0	0
0.3326	-0.7484	-0.5988	0.9979	0.7484	0.499	0	0	0
0.3338	-0.7511	-0.6009	1.0014	0.7511	0.5007	0	0	0
0.3349	-0.7536	-0.6029	1.0048	0.7536	0.5024	0	0	0
0.336	-0.756	-0.6048	1.008	0.756	0.504	0	0	0
0.337	-0.7583	-0.6066	1.011	0.7583	0.5055	0	0	0
0.338	-0.7605	-0.6084	1.0139	0.7605	0.507	0	0	0
0.3389	-0.7625	-0.61	1.0167	0.7625	0.5084	0	0	0
0.3398	-0.7645	-0.6116	1.0193	0.7645	0.5097	0	0	0
0.3406	-0.7664	-0.6131	1.0218	0.7664	0.5109	0	0	0
0.3414	-0.7681	-0.6145	1.0242	0.7681	0.5121	0	0	0
0.3421	-0.7698	-0.6158	1.0264	0.7698	0.5132	0	0	0
0.3428	-0.7713	-0.6171	1.0284	0.7713	0.5142	0	0	0
0.3435	-0.7728	-0.6182	1.0304	0.7728	0.5152	0	0	0
0.3441	-0.7742	-0.6193	1.0322	0.7742	0.5161	0	0	0
0.3446	-0.7754	-0.6203	1.0339	0.7754	0.5169	0	0	0
0.3452	-0.7766	-0.6213	1.0355	0.7766	0.5177	0	0	0
0.3456	-0.7777	-0.6221	1.0369	0.7777	0.5185	0	0	0
0.3461	-0.7787	-0.6229	1.0382	0.7787	0.5191	0	0	0
0.3465	-0.7796	-0.6237	1.0394	0.7796	0.5197	0	0	0
0.3469	-0.7804	-0.6243	1.0406	0.7804	0.5203	0	0	0
0.3472	-0.7812	-0.6249	1.0416	0.7812	0.5208	0	0	0
0.3475	-0.7818	-0.6255	1.0425	0.7818	0.5212	0	0	0
0.3478	-0.7824	-0.626	1.0433	0.7824	0.5216	0	0	0
0.348	-0.783	-0.6264	1.044	0.783	0.522	0	0	0
0.3482	-0.7834	-0.6268	1.0446	0.7834	0.5223	0	0	0
0.3484	-0.7839	-0.6271	1.0451	0.7839	0.5226	0	0	0
0.3485	-0.7842	-0.6274	1.0456	0.7842	0.5228	0	0	0
0.3487	-0.7845	-0.6276	1.046	0.7845	0.523	0	0	0
0.3488	-0.7847	-0.6278	1.0463	0.7847	0.5232	0	0	0
0.3489	-0.7849	-0.6279	1.0466	0.7849	0.5233	0	0	0
0.3489	-0.7851	-0.6281	1.0468	0.7851	0.5234	0	0	0
0.349	-0.7852	-0.6282	1.0469	0.7852	0.5235	0	0	0
0.349	-0.7853	-0.6282	1.047	0.7853	0.5235	0	0	0
0.349	-0.7853	-0.6283	1.0471	0.7853	0.5236	0	0	0
0.3491	-0.7854	-0.6283	1.0472	0.7854	0.5236	0	0	0
0.3491	-0.7854	-0.6283	1.0472	0.7854	0.5236	0	0	0
0.3491	-0.7854	-0.6283	1.0472	0.7854	0.5236	0	0	0
0.3491	-0.7854	-0.6283	1.0472	0.7854	0.5236	0	0	0
